Year,Program,Six Digit,Program Category,Four Digit,Program Family,Two Digit,Institution Type,Institution,Campus,County,FIPS,Certificate,Diploma,Total Awards
2020-21,Truck and Bus Driver/Commercial Vehicle Operator and Instructor,49.0205,Ground Transportation,49.02,Transportation and Materials Moving,49,TCAT,Newbern,Main Campus,"Dyer County, Tennessee",47045,6,0,6
2020-21,Licensed Practical/Vocational Nurse Training,51.3901,"Practical Nursing, Vocational Nursing and Nursing Assistants",51.39,Health Professions and Related Programs,51,TCAT,Newbern,Main Campus,"Dyer County, Tennessee",47045,3,20,23
2020-21,Automation Engineer Technology/Technician,15.0406,Electromechanical Technologies/Technicians,15.04,Engineering/Engineering-Related Technologies/Technicians,15,TCAT,Newbern,TCAT Newbern - Bells Campus,"Crockett County, Tennessee",47033,4,9,13
2020-21,Diesel Mechanics Technology/Technician,47.0605,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Newbern,TCAT Newbern - Transportation Campus,"Dyer County, Tennessee",47045,3,8,11
2020-21,Truck and Bus Driver/Commercial Vehicle Operator and Instructor,49.0205,Ground Transportation,49.02,Transportation and Materials Moving,49,TCAT,Newbern,TCAT Newbern - Transportation Campus,"Dyer County, Tennessee",47045,31,0,31
2020-21,Industrial Mechanics and Maintenance Technology/Technician,47.0303,Heavy/Industrial Equipment Maintenance Technologies/Technicians,47.03,Mechanic and Repair Technologies/Technicians,47,TCAT,Newbern,TCAT Newbern - Union City Campus,"Obion County, Tennessee",47131,1,10,11
2020-21,Welding Technology/Welder,48.0508,Precision Metal Working,48.05,Precision Production,48,TCAT,Newbern,TCAT Newbern - Union City Campus,"Obion County, Tennessee",47131,14,7,21
2020-21,Licensed Practical/Vocational Nurse Training,51.3901,"Practical Nursing, Vocational Nursing and Nursing Assistants",51.39,Health Professions and Related Programs,51,TCAT,Newbern,TCAT Newbern - Union City Campus,"Obion County, Tennessee",47131,4,15,19
2020-21,Computer Support Specialist,11.1006,Computer/Information Technology Administration and Management,11.10,Computer and Information Sciences and Support Services,11,TCAT,Oneida,Main Campus,"Scott County, Tennessee",47151,3,0,3
2020-21,"Cosmetology/Cosmetologist, General",12.0401,Cosmetology and Related Personal Grooming Services,12.04,"Culinary, Entertainment, and Personal Services",12,TCAT,Oneida,Main Campus,"Scott County, Tennessee",47151,7,3,10
2020-21,Automobile/Automotive Mechanics Technology/Technician,47.0604,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Oneida,Main Campus,"Scott County, Tennessee",47151,2,3,5
2020-21,Machine Tool Technology/Machinist,48.0501,Precision Metal Working,48.05,Precision Production,48,TCAT,Oneida,Main Campus,"Scott County, Tennessee",47151,1,1,2
2020-21,Welding Technology/Welder,48.0508,Precision Metal Working,48.05,Precision Production,48,TCAT,Oneida,Main Campus,"Scott County, Tennessee",47151,6,6,12
2020-21,Licensed Practical/Vocational Nurse Training,51.3901,"Practical Nursing, Vocational Nursing and Nursing Assistants",51.39,Health Professions and Related Programs,51,TCAT,Oneida,Main Campus,"Scott County, Tennessee",47151,0,14,14
2020-21,Executive Assistant/Executive Secretary,52.0402,Business Operations Support and Assistant Services,52.04,"Business, Management, Marketing, and Related Support Services",52,TCAT,Oneida,Main Campus,"Scott County, Tennessee",47151,3,2,5
2020-21,"Electrical and Power Transmission Installation/Installer, General",46.0301,Electrical and Power Transmission Installers,46.03,Construction Trades,46,TCAT,Oneida,Oneida Campus,"Scott County, Tennessee",47151,21,14,35
2020-21,Autobody/Collision and Repair Technology/Technician,47.0603,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Oneida,Oneida Campus,"Scott County, Tennessee",47151,3,1,4
2020-21,Pharmacy Technician/Assistant,51.0805,Allied Health and Medical Assisting Services,51.08,Health Professions and Related Programs,51,TCAT,Oneida,Oneida Campus,"Scott County, Tennessee",47151,0,4,4
